,summary,Energiewende,Verkehrswende,Geo_Engineering,Oekologie,Tipping_Points,Klimawandel,Landwirtschaft,Gesundheit,Wasserversorgung,Waermewende,Industrie,Klimaextreme,Urbane_Hitzeinsel,word
Solarpanels,3.711959661508773,0.11694004271462083,0.0,0.0,-0.14633389801082677,-0.10156635231582725,-0.24057361311887915,-0.14915001722529017,-0.14829431720714337,-0.1464796495012935,0.11153873309162078,-0.16151983509738319,-0.146927481552152,0.0,Solarpanels
reih+ten solarpanel+s,3.711959661508773,0.11694004271462083,0.0,0.0,-0.14633389801082677,-0.10156635231582725,-0.24057361311887915,-0.14915001722529017,-0.14829431720714337,-0.1464796495012935,0.11153873309162078,-0.16151983509738319,-0.146927481552152,0.0,reih+ten solarpanel+s
solarpanel+s fast,3.693830029520997,0.11347369995077528,0.0,0.0,-0.14143781833249824,-0.0966702726374988,-0.23567753344055065,-0.1442539375469616,-0.1433982375288149,-0.1415835698229649,0.11643481276994921,-0.15662375541905454,-0.14203140187382343,0.0,solarpanel+s fast
Horizont…,3.675077603208792,0.10983941833278632,0.0,0.0,-0.13634819915760654,-0.091580653462607,-0.23058791426565883,-0.13916431837206983,-0.1383086183539231,-0.13649395064807307,0.12152443194484093,-0.15153413624416287,-0.13694178269893165,0.0,Horizont…
fast horizont…,3.675077603208792,0.10983941833278632,0.0,0.0,-0.13634819915760654,-0.091580653462607,-0.23058791426565883,-0.13916431837206983,-0.1383086183539231,-0.13649395064807307,0.12152443194484093,-0.15153413624416287,-0.13694178269893165,0.0,fast horizont…
+5864,3.6598802552758687,0.1068569500439804,0.0,0.0,-0.13220437993667478,-0.0874368342416752,-0.22644409504472712,-0.1350204991511381,-0.1341647991329912,-0.13235013142714133,0.1256682511657727,-0.14739031702323108,-0.13279796347799977,0.0,+5864
horizont… +5864,3.6598802552758687,0.1068569500439804,0.0,0.0,-0.13220437993667478,-0.0874368342416752,-0.22644409504472712,-0.1350204991511381,-0.1341647991329912,-0.13235013142714133,0.1256682511657727,-0.14739031702323108,-0.13279796347799977,0.0,horizont… +5864
+5864 char+s,3.6518346117621694,0.10526430932483581,0.0,0.0,-0.13000362487242204,-0.08523607917742228,-0.22424333998047416,-0.13281974408688527,-0.13196404406873843,-0.13014937636288862,0.12786900623002562,-0.14518956195897834,-0.130597208413747,0.0,+5864 char+s
Operative,4.781628009652506,0.2633905652101343,0.0,0.0,-0.39955502650627733,-0.3547874808112778,-0.4937947416143296,-0.4023711457207405,-0.4015154457025938,-0.39970077799674375,-0.14168239540382965,-0.4147409635928336,-0.4001486100476025,0.0,Operative
interview operativ+e,4.781628009652506,0.2633905652101343,0.0,0.0,-0.39955502650627733,-0.3547874808112778,-0.4937947416143296,-0.4023711457207405,-0.4015154457025938,-0.39970077799674375,-0.14168239540382965,-0.4147409635928336,-0.4001486100476025,0.0,interview operativ+e
